   KIC, 2MASS,        Kep_mag,  flag_act_osc, evol_status, Prot, logg_ast, err, NUV_xs, err, S_Ca_HK, err, S_Mg, err, S_Fe, err, S_Halpha, err, S_CaIR, err 
   757137,19241341+3633358 , 9.20, 0,0,-999.00, 2.38, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
   892107,19240024+3638334 ,12.38, 0,1,-999.00, 3.38, 0.02, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  1026084,19241348+3642145 ,12.14, 0,2,-999.00, 2.59, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
  1027337,19252021+3647118 ,12.11, 0,1,-999.00, 2.78, 0.01, -999, -999,0.179,0.004,0.552,0.009,0.864,0.014,0.793,0.013,0.562,0.012 
  1160789,19233280+3652207 , 9.70, 0,0,-999.00, 2.30, 0.01, -999, -999,0.139,0.004,0.667,0.012,0.888,0.014,0.755,0.013,0.580,0.013 
  1161618,19242614+3648478 ,10.22, 0,2,-999.00, 2.43, 0.01, -999, -999,0.141,0.002,0.654,0.006,0.866,0.007,0.763,0.006,0.551,0.008 
  1162746,19252639+3649116 ,11.45, 0,2,-999.00, 2.35, 0.01, -999, -999,0.141,0.001,0.683,0.004,0.895,0.005,0.752,0.005,0.576,0.005 
  1163453,19260321+3650022 ,11.98, 0,2,-999.00, 2.52, 0.01, -999, -999,0.130,0.003,0.662,0.018,0.873,0.022,0.757,0.019,0.567,0.016 
  1163621,19261297+3648265 ,11.79, 0,2,-999.00, 2.61, 0.01, -999, -999,0.235,0.005,0.662,0.010,0.891,0.014,0.777,0.015,0.579,0.015 
  1294122,19250718+3654252 ,11.94, 0,0,-999.00, 2.79, 0.01, -999, -999,0.174,0.003,0.613,0.007,0.887,0.012,0.790,0.009,0.596,0.011 
  1294385,19252149+3654097 ,10.65, 0,1,-999.00, 2.94, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,0.594,0.044 
  1429505,19225688+3702125 ,11.96, 0,1,-999.00, 2.65, 0.01, -999, -999,0.137,0.003,0.630,0.008,0.857,0.032,0.769,0.024,0.570,0.022 
  1433593,19264298+3704199 ,11.52, 0,2,-999.00, 2.75, 0.01, -999, -999,0.179,0.003,0.630,0.006,0.876,0.009,0.749,0.007,0.575,0.008 
  1433730,19265020+3703054 ,10.89, 0,0,-999.00, 2.51, 0.01, -999, -999,0.127,0.002,0.649,0.015,0.864,0.015,0.765,0.016,0.572,0.017 
  1433803,19265417+3702187 ,10.19, 0,1,-999.00, 3.09, 0.01, -999, -999,0.170,0.001,0.554,0.003,0.854,0.004,0.790,0.004,0.579,0.004 
  1435573,19282646+3705369 ,11.41, 0,0,-999.00, 2.33, 0.01, -999, -999,0.150,0.002,0.612,0.005,0.847,0.007,0.729,0.007,0.539,0.007 
  1569842,19222920+3710285 ,11.09, 0,1,-999.00, 3.04, 0.01, -999, -999,0.191,0.001,0.610,0.003,0.904,0.005,0.768,0.005,0.616,0.004 
  1571780,19241413+3711431 ,10.61, 0,2,-999.00, 2.59, 0.01, -999, -999,0.151,0.001,0.675,0.003,0.856,0.003,0.756,0.003,0.562,0.004 
  1572175,19243591+3706204 ,11.86, 0,2,-999.00, 2.65, 0.01, -999, -999, -999, -999,0.666,0.022,0.871,0.027,0.773,0.028,0.591,0.030 
  1572780,19250971+3708188 ,10.27, 0,0,-999.00, 2.17, 0.01, -999, -999,0.163,0.002,0.756,0.007,0.900,0.009,0.722,0.007,0.588,0.008 
  1575886,19274289+3709135 ,11.40, 0,2,-999.00, 2.92, 0.01, -999, -999,0.158,0.001,0.694,0.004,0.889,0.005,0.718,0.004,0.568,0.005 
  1576469,19281017+3706444 ,10.36, 0,2,-999.00, 2.88, 0.01, -999, -999,0.195,0.003,0.647,0.007,0.867,0.010,0.724,0.009,0.561,0.011 
  1577143,19284227+3707099 ,10.18, 0,2,-999.00, 2.46, 0.01, -999, -999,0.154,0.002,0.691,0.005,0.886,0.007,0.709,0.007,0.558,0.008 
  1717618,19222314+3712209 ,11.70, 0,1,-999.00, 3.00, 0.01, -999, -999,0.199,0.003,0.639,0.007,0.890,0.011,0.769,0.008,0.613,0.011 
  1720425,19251052+3715499 ,10.78, 0,2,-999.00, 2.36, 0.01, -999, -999,0.170,0.002,0.697,0.005,0.887,0.007,0.744,0.006,0.576,0.005 
  1723752,19280136+3717594 ,12.33, 0,1,-999.00, 3.21, 0.01, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999 
