KIC,lamost_id,RA (deg),DEC (deg),dtheta (arcsec),lamost filename 
 1027337, 52501012,291.334208,36.786639,0.0480,spec-56094-kepler05B56094_2_sp01-012.fits.gz 
 1160789,369701218,290.887685,36.872429,2.9576,spec-57308-KP192409N391242V01_sp01-218.fits.gz 
 1161618,369701001,291.108920,36.813927,2.2967,spec-57308-KP192409N391242V01_sp01-001.fits.gz 
 1162746,369801004,291.359990,36.819889,0.0313,spec-57308-KP192409N391242V02_sp01-004.fits.gz 
 1162746,580601013,291.359990,36.819889,0.0313,spec-57918-KP192409N391242V04_sp01-013.fits.gz 
 1163453,369701188,291.513400,36.833950,0.0000,spec-57308-KP192409N391242V01_sp01-188.fits.gz 
 1163453,580501002,291.513400,36.833950,0.0000,spec-57918-KP192409N391242V03_sp01-002.fits.gz 
 1163621, 52501191,291.554083,36.807389,0.0464,spec-56094-kepler05B56094_2_sp01-191.fits.gz 
 1294122, 52501008,291.279917,36.907028,0.0328,spec-56094-kepler05B56094_2_sp01-008.fits.gz 
 1294385,580601018,291.340119,36.903642,3.8120,spec-57918-KP192409N391242V04_sp01-018.fits.gz 
 1429505,369701036,290.737000,37.036819,0.0000,spec-57308-KP192409N391242V01_sp01-036.fits.gz 
 1429505,580501039,290.737000,37.036819,0.0000,spec-57918-KP192409N391242V03_sp01-039.fits.gz 
 1433593,580601183,291.679110,37.072220,0.0053,spec-57918-KP192409N391242V04_sp01-183.fits.gz 
 1433730,369701192,291.709200,37.051750,0.8604,spec-57308-KP192409N391242V01_sp01-192.fits.gz 
 1433803,369801182,291.726550,37.038471,2.3678,spec-57308-KP192409N391242V02_sp01-182.fits.gz 
 1435573,580607159,292.110260,37.093609,0.0296,spec-57918-KP192409N391242V04_sp07-159.fits.gz 
 1569842,580601031,290.621670,37.174599,0.0053,spec-57918-KP192409N391242V04_sp01-031.fits.gz 
 1571780,369801096,291.058760,37.195481,0.7313,spec-57308-KP192409N391242V02_sp01-096.fits.gz 
 1572175,369701083,291.149630,37.105679,0.0341,spec-57308-KP192409N391242V01_sp01-083.fits.gz 
 1572175,580501092,291.149630,37.105679,0.0341,spec-57918-KP192409N391242V03_sp01-092.fits.gz 
 1572780,580601083,291.289832,37.139651,4.3417,spec-57918-KP192409N391242V04_sp01-083.fits.gz 
 1575886,369707170,291.928740,37.153770,0.0310,spec-57308-KP192409N391242V01_sp07-170.fits.gz 
 1575886,580601195,291.928740,37.153770,0.0310,spec-57918-KP192409N391242V04_sp01-195.fits.gz 
 1576469, 52507151,292.042375,37.112361,0.0414,spec-56094-kepler05B56094_2_sp07-151.fits.gz 
